rows=50
cols=40
(0, 1, -1)
(0, 2, 2)
(0, 5, 3)
(0, 8, 4)
(0, 12, 5)
(0, 15, 6)
(0, 18, 7)
(0, 22, 8)
(0, 25, 9)
(1, 1, -1)
(1, 3, 4)
(1, 6, 3)
(1, 9, 4)
(1, 13, 5)
(1, 16, 6)
(1, 19, 7)
(1, 23, 8)
(1, 26, 9)
(2, 2, -2)
(2, 4, 4)
(2, 7, 3)
(2, 10, 4)
(2, 14, 5)
(2, 17, 6)
(2, 20, 7)
(2, 24, 8)
(2, 27, 9)
(3, 3, -3)
(3, 5, 2)
(3, 8, 3)
(3, 11, 4)
(3, 15, 5)
(3, 18, 6)
(3, 21, 7)
(3, 25, 8)
(3, 28, 9)
(4, 4, -4)
(4, 6, 2)
(4, 9, 3)
(4, 12, 4)
(4, 16, 5)
(4, 19, 6)
(4, 22, 7)
(4, 26, 8)
(4, 29, 9)
(5, 5, -6)
(6, 6, -7)
(7, 7, -8)
(8, 8, -9)
(9, 9, -10)
(10, 10, -11)
(11, 11, -12)
(12, 12, -13)
(13, 13, -14)
(14, 14, -15)
(15, 15, -16)
(16, 16, -17)
(17, 17, -18)
(18, 18, -19)
(19, 19, -20)
(20, 20, -21)
(21, 21, -22)
(22, 22, -23)
(23, 23, -24)
(24, 24, -25)
(25, 25, -26)
(26, 26, -27)
(27, 27, -28)
(28, 28, -29)
(29, 29, -30)
(30, 0, -1)
(31, 1, -2)
(32, 2, -3)
(33, 3, -4)
(34, 4, -5)
(35, 5, -6)
(36, 6, -7)
(37, 7, -8)
(38, 8, -9)
(39, 9, -10)
